File,param_LDA__solver,params,mean_test_score,std_test_score
D3S08I_S01_NF2S15CH-epo.fif,svd,{'LDA__solver': 'svd'},0.6270833333333333,0.12128149648189902
D3S08I_S01_NF2S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.6270833333333333,0.12128149648189902
D3S08I_S01_NF2S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.6270833333333333,0.12128149648189902
D3S05I_S01_NF4S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.6645833333333333,0.1157891102632521
D3S05I_S01_NF4S8BCH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.6645833333333333,0.1157891102632521
D3S05I_S01_NF4S8BCH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.6645833333333333,0.1157891102632521
D3S09I_S01_NF2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.7333333333333333,0.09260879487872029
D3S09I_S01_NF2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7333333333333333,0.09260879487872029
D3S09I_S01_NF2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7333333333333333,0.09260879487872029
D3S02I_S01_FI4S15CH-epo.fif,svd,{'LDA__solver': 'svd'},0.7600000000000002,0.117504925034687
D3S02I_S01_FI4S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7600000000000002,0.117504925034687
D3S02I_S01_FI4S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7600000000000002,0.117504925034687
D3S06I_S01_NF2S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.63125,0.09178496154962788
D3S06I_S01_NF2S8BCH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.63125,0.09178496154962788
D3S06I_S01_NF2S8BCH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.63125,0.09178496154962788
D3S06I_S01_NF2S15CH-epo.fif,svd,{'LDA__solver': 'svd'},0.6208333333333333,0.11288514320120055
D3S06I_S01_NF2S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.6208333333333333,0.11288514320120055
D3S06I_S01_NF2S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.6208333333333333,0.11288514320120055
D3S08I_S01_FI2S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.6020833333333333,0.1438707222551629
D3S08I_S01_FI2S8BCH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.6020833333333333,0.1438707222551629
D3S08I_S01_FI2S8BCH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.6020833333333333,0.1438707222551629
D3S06I_S01_FI4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.71875,0.11151186409227196
