File,param_CSP__log,param_CSP__n_components,param_CSP__norm_trace,param_CSP__reg,params,mean_test_score,std_test_score
D4SBI_S02_FI2S8ACH-epo.fif,True,2,True,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.5875,0.15189771777965155
D4SBI_S02_FI2S8ACH-epo.fif,True,2,False,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5083333333333333,0.13378828631668602
D4SBI_S02_FI2S8ACH-epo.fif,False,2,True,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.5875,0.11016086722001905
D4SBI_S02_FI2S8ACH-epo.fif,False,2,False,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.51875,0.07594885888982578
D4SAI_S01_FI2S8ACH-epo.fif,True,2,True,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.5958333333333333,0.1366768288904727
D4SAI_S01_FI2S8ACH-epo.fif,True,2,False,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5895833333333333,0.14495269822332466
D4SAI_S01_FI2S8ACH-epo.fif,False,2,True,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.5916666666666667,0.11380416903123053
D4SAI_S01_FI2S8ACH-epo.fif,False,2,False,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5895833333333333,0.11713077330725498
D4SAI_S03_NF2S8ACH-epo.fif,True,2,True,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.5229166666666667,0.11120005120902098
D4SAI_S03_NF2S8ACH-epo.fif,True,2,False,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.55,0.12541597452743677
D4SAI_S03_NF2S8ACH-epo.fif,False,2,True,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.4791666666666667,0.12740737376183878
D4SAI_S03_NF2S8ACH-epo.fif,False,2,False,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5354166666666667,0.10542984107399996
D4SBI_S02_NF4S8ACH-epo.fif,True,2,True,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.6166666666666667,0.1288302069478359
D4SBI_S02_NF4S8ACH-epo.fif,True,2,False,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5645833333333333,0.10267684608626339
D4SBI_S02_NF4S8ACH-epo.fif,False,2,True,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.59375,0.1357368010771827
D4SBI_S02_NF4S8ACH-epo.fif,False,2,False,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5354166666666667,0.11713077330725498
D4SAI_S02_NF2S8ACH-epo.fif,True,2,True,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.5666666666666667,0.14062114192238506
D4SAI_S02_NF2S8ACH-epo.fif,True,2,False,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5604166666666667,0.14832689592772969
D4SAI_S02_NF2S8ACH-epo.fif,False,2,True,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.5791666666666667,0.11851218877773244
D4SAI_S02_NF2S8ACH-epo.fif,False,2,False,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5479166666666667,0.12570979034621324
D4SAI_S01_NF2S8ACH-epo.fif,True,2,True,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.44375,0.12113826466755526
D4SAI_S01_NF2S8ACH-epo.fif,True,2,False,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.47708333333333336,0.11911493632435673
D4SAI_S01_NF2S8ACH-epo.fif,False,2,True,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.47291666666666665,0.11713077330725498
D4SAI_S01_NF2S8ACH-epo.fif,False,2,False,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.4875,0.11226827987756233
D4SAI_S03_FI4S8ACH-epo.fif,True,2,True,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.5104166666666666,0.12404146372170163
D4SAI_S03_FI4S8ACH-epo.fif,True,2,False,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5020833333333333,0.11120005120902098
D4SAI_S03_FI4S8ACH-epo.fif,False,2,True,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.49166666666666664,0.12047360245667467
D4SAI_S03_FI4S8ACH-epo.fif,False,2,False,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.475,0.08477912478906585
D4SAI_S01_FI4S8ACH-epo.fif,True,2,True,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.5708333333333333,0.11718634258687695
D4SAI_S01_FI4S8ACH-epo.fif,True,2,False,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5708333333333333,0.11380416903123053
D4SAI_S01_FI4S8ACH-epo.fif,False,2,True,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.5895833333333333,0.10293016105863022
D4SAI_S01_FI4S8ACH-epo.fif,False,2,False,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5833333333333334,0.10865337342004415
D4SAI_S02_FI4S8ACH-epo.fif,True,2,True,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.6145833333333334,0.10592269849071799
D4SAI_S02_FI4S8ACH-epo.fif,True,2,False,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5479166666666667,0.11143399266930278
