File,params,mean_test_score,std_test_score
Epoch/DATA4/D4SBI_S02_FI2S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.668125,0.0990955189451067
Epoch/DATA4/D4SBI_S02_FI2S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.711875,0.11554727117072042
Epoch/DATA4/D4SBI_S02_FI2S8ACH-epo.fif,{'RNA__solver': 'adam'},0.710625,0.11098106538955194
Epoch/DATA4/D4SAI_S01_FI2S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.799375,0.08983274389107793
Epoch/DATA4/D4SAI_S01_FI2S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.801875,0.09844692415205261
Epoch/DATA4/D4SAI_S01_FI2S8ACH-epo.fif,{'RNA__solver': 'adam'},0.8175,0.09709853242969227
Epoch/DATA4/D4SAI_S03_NF2S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.84,0.08674675786448736
Epoch/DATA4/D4SAI_S03_NF2S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.796875,0.08632017073083208
Epoch/DATA4/D4SAI_S03_NF2S8ACH-epo.fif,{'RNA__solver': 'adam'},0.831875,0.07890609529687805
Epoch/DATA4/D4SBI_S02_NF4S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.73,0.09717895862788403
Epoch/DATA4/D4SBI_S02_NF4S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.73625,0.09543485998313196
Epoch/DATA4/D4SBI_S02_NF4S8ACH-epo.fif,{'RNA__solver': 'adam'},0.719375,0.09742585321668988
Epoch/DATA4/D4SAI_S02_NF2S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.849375,0.09104214340073502
Epoch/DATA4/D4SAI_S02_NF2S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.843125,0.08904659945781199
Epoch/DATA4/D4SAI_S02_NF2S8ACH-epo.fif,{'RNA__solver': 'adam'},0.870625,0.0835047715702522
Epoch/DATA4/D4SAI_S01_NF2S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.77,0.0943232473995674
Epoch/DATA4/D4SAI_S01_NF2S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.74,0.10182705927208151
Epoch/DATA4/D4SAI_S01_NF2S8ACH-epo.fif,{'RNA__solver': 'adam'},0.799375,0.08491493905668189
Epoch/DATA4/D4SAI_S03_FI4S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.881875,0.08700529797087073
Epoch/DATA4/D4SAI_S03_FI4S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.870625,0.0835047715702522
Epoch/DATA4/D4SAI_S03_FI4S8ACH-epo.fif,{'RNA__solver': 'adam'},0.85625,0.08727650027355588
Epoch/DATA4/D4SAI_S01_FI4S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.8225,0.09711462299777517
Epoch/DATA4/D4SAI_S01_FI4S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.795625,0.10072200293381779
Epoch/DATA4/D4SAI_S01_FI4S8ACH-epo.fif,{'RNA__solver': 'adam'},0.828125,0.09896929763820697
Epoch/DATA4/D4SAI_S02_FI4S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.80125,0.09453008780277314
Epoch/DATA4/D4SAI_S02_FI4S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.805625,0.09678221362936477
Epoch/DATA4/D4SAI_S02_FI4S8ACH-epo.fif,{'RNA__solver': 'adam'},0.815625,0.0840270603734297
Epoch/DATA4/D4SBI_S02_NF2S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.67875,0.10862061268470181
Epoch/DATA4/D4SBI_S02_NF2S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.701875,0.08832424284985409
Epoch/DATA4/D4SBI_S02_NF2S8ACH-epo.fif,{'RNA__solver': 'adam'},0.708125,0.10608627090721964
Epoch/DATA4/D4SAI_S02_NF4S8ACH-epo.fif,{'RNA__solver': 'lbfgs'},0.818125,0.09605296390533714
Epoch/DATA4/D4SAI_S02_NF4S8ACH-epo.fif,{'RNA__solver': 'sgd'},0.81,0.093924836970846
Epoch/DATA4/D4SAI_S02_NF4S8ACH-epo.fif,{'RNA__solver': 'adam'},0.81375,0.10269037199270437
