File,params,mean_test_score,std_test_score
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 3, 'KNN__weights': 'uniform'}",0.631875,0.10189416997551921
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 3, 'KNN__weights': 'distance'}",0.665625,0.10766520735595134
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.634375,0.12195510188179912
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",0.64,0.11114461300485956
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 5, 'KNN__weights': 'uniform'}",0.614375,0.10460304429126334
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 5, 'KNN__weights': 'distance'}",0.634375,0.10583558888672565
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 6, 'KNN__weights': 'uniform'}",0.6375,0.10680004681646912
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 6, 'KNN__weights': 'distance'}",0.6325,0.1016581280567373
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.60125,0.10412582532686114
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.625,0.1
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 8, 'KNN__weights': 'uniform'}",0.614375,0.1049758156672288
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 8, 'KNN__weights': 'distance'}",0.635625,0.10718522227900636
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 9, 'KNN__weights': 'uniform'}",0.5925,0.10806537373275493
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 9, 'KNN__weights': 'distance'}",0.629375,0.10392868648741788
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 3, 'KNN__weights': 'uniform'}",0.643125,0.1115568100789907
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 3, 'KNN__weights': 'distance'}",0.66125,0.10975113894625423
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.64375,0.10807260291119114
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",0.65375,0.11125
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 5, 'KNN__weights': 'uniform'}",0.633125,0.11203201272404241
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 5, 'KNN__weights': 'distance'}",0.65,0.10532687216470447
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 6, 'KNN__weights': 'uniform'}",0.629375,0.10834515159895249
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 6, 'KNN__weights': 'distance'}",0.645,0.10265232583823905
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.61375,0.10322154571599866
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.63625,0.09576174862647402
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 8, 'KNN__weights': 'uniform'}",0.601875,0.10141768521811176
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 8, 'KNN__weights': 'distance'}",0.62875,0.09634735336271567
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 9, 'KNN__weights': 'uniform'}",0.59375,0.1150747039970123
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 9, 'KNN__weights': 'distance'}",0.630625,0.09964585728970371
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 3, 'KNN__weights': 'uniform'}",0.631875,0.10189416997551921
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 3, 'KNN__weights': 'distance'}",0.665625,0.10766520735595134
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.634375,0.12195510188179912
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",0.64,0.11114461300485956
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 5, 'KNN__weights': 'uniform'}",0.614375,0.10460304429126334
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 5, 'KNN__weights': 'distance'}",0.634375,0.10583558888672565
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 6, 'KNN__weights': 'uniform'}",0.6375,0.10680004681646912
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 6, 'KNN__weights': 'distance'}",0.6325,0.1016581280567373
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.60125,0.10412582532686114
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.625,0.1
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 8, 'KNN__weights': 'uniform'}",0.614375,0.1049758156672288
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 8, 'KNN__weights': 'distance'}",0.635625,0.10718522227900636
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 9, 'KNN__weights': 'uniform'}",0.5925,0.10806537373275493
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 9, 'KNN__weights': 'distance'}",0.629375,0.10392868648741788
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 3, 'KNN__weights': 'uniform'}",0.685,0.1075
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 3, 'KNN__weights': 'distance'}",0.644375,0.11343190413195046
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.67125,0.11132020256898566
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",0.651875,0.11258850685127678
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 5, 'KNN__weights': 'uniform'}",0.679375,0.11168279578789204
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 5, 'KNN__weights': 'distance'}",0.6525,0.11086309124320863
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 6, 'KNN__weights': 'uniform'}",0.668125,0.10181746841775235
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 6, 'KNN__weights': 'distance'}",0.650625,0.10900652216725382
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.695625,0.10519884445658136
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.669375,0.1196658759839245
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 8, 'KNN__weights': 'uniform'}",0.684375,0.1013097817340458
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 8, 'KNN__weights': 'distance'}",0.653125,0.11936518284240175
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 9, 'KNN__weights': 'uniform'}",0.694375,0.11418700396717656
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'minkowski', 'KNN__n_neighbors': 9, 'KNN__weights': 'distance'}",0.666875,0.11926041621175067
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 3, 'KNN__weights': 'uniform'}",0.713125,0.10573219412742743
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 3, 'KNN__weights': 'distance'}",0.665625,0.11263013306837563
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.6825,0.10483618173130876
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",0.653125,0.11705200500205028
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 5, 'KNN__weights': 'uniform'}",0.685625,0.11807538640631247
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 5, 'KNN__weights': 'distance'}",0.655,0.11506791472865059
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 6, 'KNN__weights': 'uniform'}",0.67875,0.09961645195448389
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 6, 'KNN__weights': 'distance'}",0.665,0.11676632648156743
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.693125,0.10683478775661044
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.65875,0.12196951463378053
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 8, 'KNN__weights': 'uniform'}",0.69125,0.10148121747397397
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 8, 'KNN__weights': 'distance'}",0.661875,0.12057641508603581
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 9, 'KNN__weights': 'uniform'}",0.693125,0.11148675650049203
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 9, 'KNN__weights': 'distance'}",0.65625,0.1194060823408925
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 3, 'KNN__weights': 'uniform'}",0.685,0.1075
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 3, 'KNN__weights': 'distance'}",0.644375,0.11343190413195046
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.67125,0.11132020256898566
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",0.651875,0.11258850685127678
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 5, 'KNN__weights': 'uniform'}",0.679375,0.11168279578789204
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 5, 'KNN__weights': 'distance'}",0.6525,0.11086309124320863
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 6, 'KNN__weights': 'uniform'}",0.668125,0.10181746841775235
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 6, 'KNN__weights': 'distance'}",0.650625,0.10900652216725382
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.695625,0.10519884445658136
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.669375,0.1196658759839245
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 8, 'KNN__weights': 'uniform'}",0.684375,0.1013097817340458
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 8, 'KNN__weights': 'distance'}",0.653125,0.11936518284240175
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 9, 'KNN__weights': 'uniform'}",0.694375,0.11418700396717656
