File,params,mean_test_score,std_test_score
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'LDA__solver': 'svd', 'LDA__tol': 0.0001}",0.628125,0.1177175512614835
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'LDA__solver': 'svd', 'LDA__tol': 0.001}",0.628125,0.1177175512614835
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'LDA__solver': 'svd', 'LDA__tol': 0.01}",0.628125,0.1177175512614835
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'LDA__shrinkage': None, 'LDA__solver': 'lsqr'}",0.628125,0.1177175512614835
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'LDA__shrinkage': None, 'LDA__solver': 'eigen'}",0.628125,0.1177175512614835
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'LDA__shrinkage': 'auto', 'LDA__solver': 'lsqr'}",0.635,0.1175
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'LDA__shrinkage': 'auto', 'LDA__solver': 'eigen'}",0.635,0.1175
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'LDA__shrinkage': 0.1, 'LDA__solver': 'lsqr'}",0.63,0.11411343041027204
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'LDA__shrinkage': 0.1, 'LDA__solver': 'eigen'}",0.63,0.11411343041027204
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'LDA__shrinkage': 0.5, 'LDA__solver': 'lsqr'}",0.639375,0.11210172556655852
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,"{'LDA__shrinkage': 0.5, 'LDA__solver': 'eigen'}",0.639375,0.11210172556655852
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'LDA__solver': 'svd', 'LDA__tol': 0.0001}",0.710625,0.11272720113175878
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'LDA__solver': 'svd', 'LDA__tol': 0.001}",0.710625,0.11272720113175878
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'LDA__solver': 'svd', 'LDA__tol': 0.01}",0.710625,0.11272720113175878
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'LDA__shrinkage': None, 'LDA__solver': 'lsqr'}",0.710625,0.11272720113175878
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'LDA__shrinkage': None, 'LDA__solver': 'eigen'}",0.710625,0.11272720113175878
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'LDA__shrinkage': 'auto', 'LDA__solver': 'lsqr'}",0.7075,0.11315089482633355
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'LDA__shrinkage': 'auto', 'LDA__solver': 'eigen'}",0.7075,0.11315089482633355
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'LDA__shrinkage': 0.1, 'LDA__solver': 'lsqr'}",0.7075,0.11520362407493957
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'LDA__shrinkage': 0.1, 'LDA__solver': 'eigen'}",0.7075,0.11520362407493957
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'LDA__shrinkage': 0.5, 'LDA__solver': 'lsqr'}",0.710625,0.11781042770060722
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,"{'LDA__shrinkage': 0.5, 'LDA__solver': 'eigen'}",0.710625,0.11781042770060722
Epoch/DATA3/D3S09I_S01_NF2S8ACH-epo.fif,"{'LDA__solver': 'svd', 'LDA__tol': 0.0001}",0.776875,0.10942141872138196
Epoch/DATA3/D3S09I_S01_NF2S8ACH-epo.fif,"{'LDA__solver': 'svd', 'LDA__tol': 0.001}",0.776875,0.10942141872138196
Epoch/DATA3/D3S09I_S01_NF2S8ACH-epo.fif,"{'LDA__solver': 'svd', 'LDA__tol': 0.01}",0.776875,0.10942141872138196
Epoch/DATA3/D3S09I_S01_NF2S8ACH-epo.fif,"{'LDA__shrinkage': None, 'LDA__solver': 'lsqr'}",0.776875,0.10942141872138196
Epoch/DATA3/D3S09I_S01_NF2S8ACH-epo.fif,"{'LDA__shrinkage': None, 'LDA__solver': 'eigen'}",0.776875,0.10942141872138196
Epoch/DATA3/D3S09I_S01_NF2S8ACH-epo.fif,"{'LDA__shrinkage': 'auto', 'LDA__solver': 'lsqr'}",0.78,0.10914439976471538
