File,params,mean_test_score,std_test_score
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,{'TREE__criterion': 'gini'},0.614375,0.11424172563034926
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,{'TREE__criterion': 'entropy'},0.610625,0.1172120807553556
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,{'TREE__criterion': 'log_loss'},0.610625,0.1172120807553556
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,{'TREE__criterion': 'gini'},0.66375,0.10524524929895887
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,{'TREE__criterion': 'entropy'},0.65875,0.1193799082760579
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,{'TREE__criterion': 'log_loss'},0.65875,0.1193799082760579
Epoch/DATA3/D3S09I_S01_NF2S8ACH-epo.fif,{'TREE__criterion': 'gini'},0.660625,0.11119204951344318
Epoch/DATA3/D3S09I_S01_NF2S8ACH-epo.fif,{'TREE__criterion': 'entropy'},0.670625,0.10452833048987246
Epoch/DATA3/D3S09I_S01_NF2S8ACH-epo.fif,{'TREE__criterion': 'log_loss'},0.670625,0.10452833048987246
Epoch/DATA3/D3S02I_S01_FI4S15CH-epo.fif,{'TREE__criterion': 'gini'},0.7286666666666666,0.10677286380183146
Epoch/DATA3/D3S02I_S01_FI4S15CH-epo.fif,{'TREE__criterion': 'entropy'},0.7340000000000001,0.11527551537271238
Epoch/DATA3/D3S02I_S01_FI4S15CH-epo.fif,{'TREE__criterion': 'log_loss'},0.7340000000000001,0.11527551537271238
Epoch/DATA3/D3S06I_S01_NF2S8BCH-epo.fif,{'TREE__criterion': 'gini'},0.63125,0.12103072956898178
Epoch/DATA3/D3S06I_S01_NF2S8BCH-epo.fif,{'TREE__criterion': 'entropy'},0.619375,0.12596347436856448
Epoch/DATA3/D3S06I_S01_NF2S8BCH-epo.fif,{'TREE__criterion': 'log_loss'},0.619375,0.12596347436856448
Epoch/DATA3/D3S06I_S01_NF2S15CH-epo.fif,{'TREE__criterion': 'gini'},0.638125,0.11568241817579715
Epoch/DATA3/D3S06I_S01_NF2S15CH-epo.fif,{'TREE__criterion': 'entropy'},0.640625,0.11537134338734208
Epoch/DATA3/D3S06I_S01_NF2S15CH-epo.fif,{'TREE__criterion': 'log_loss'},0.640625,0.11537134338734208
Epoch/DATA3/D3S08I_S01_FI2S8BCH-epo.fif,{'TREE__criterion': 'gini'},0.525625,0.10936428518945296
Epoch/DATA3/D3S08I_S01_FI2S8BCH-epo.fif,{'TREE__criterion': 'entropy'},0.51125,0.11193608667449474
