File,params,mean_test_score,std_test_score
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,{'SVM__kernel': 'poly'},0.974375,0.03862378638870094
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,{'SVM__kernel': 'linear'},0.97625,0.03398069304767047
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,{'SVM__kernel': 'rbf'},0.983125,0.030433072059849627
Epoch/DATA3/D3S08I_S01_NF2S15CH-epo.fif,{'SVM__kernel': 'sigmoid'},0.960625,0.049729738336331514
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,{'SVM__kernel': 'poly'},0.898125,0.06534463922159185
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,{'SVM__kernel': 'linear'},0.89875,0.07114026637566098
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,{'SVM__kernel': 'rbf'},0.89875,0.0689089072616886
Epoch/DATA3/D3S05I_S01_NF4S8BCH-epo.fif,{'SVM__kernel': 'sigmoid'},0.409375,0.11400897716846686
Epoch/DATA3/D3S09I_S01_NF2S8ACH-epo.fif,{'SVM__kernel': 'poly'},0.888125,0.08018289639941924
Epoch/DATA3/D3S09I_S01_NF2S8ACH-epo.fif,{'SVM__kernel': 'linear'},0.9025,0.07143616031114776
Epoch/DATA3/D3S09I_S01_NF2S8ACH-epo.fif,{'SVM__kernel': 'rbf'},0.883125,0.07738650964476948
Epoch/DATA3/D3S09I_S01_NF2S8ACH-epo.fif,{'SVM__kernel': 'sigmoid'},0.85625,0.08992184106211348
Epoch/DATA3/D3S02I_S01_FI4S15CH-epo.fif,{'SVM__kernel': 'poly'},0.9246666666666669,0.06370417743148576
Epoch/DATA3/D3S02I_S01_FI4S15CH-epo.fif,{'SVM__kernel': 'linear'},0.9133333333333336,0.0649786289653931
Epoch/DATA3/D3S02I_S01_FI4S15CH-epo.fif,{'SVM__kernel': 'rbf'},0.9066666666666668,0.06531972647421808
Epoch/DATA3/D3S02I_S01_FI4S15CH-epo.fif,{'SVM__kernel': 'sigmoid'},0.608,0.1096580543730778
Epoch/DATA3/D3S06I_S01_NF2S8BCH-epo.fif,{'SVM__kernel': 'poly'},0.93,0.06451743950281971
Epoch/DATA3/D3S06I_S01_NF2S8BCH-epo.fif,{'SVM__kernel': 'linear'},0.888125,0.07087345677332241
Epoch/DATA3/D3S06I_S01_NF2S8BCH-epo.fif,{'SVM__kernel': 'rbf'},0.938125,0.056936779633203705
Epoch/DATA3/D3S06I_S01_NF2S8BCH-epo.fif,{'SVM__kernel': 'sigmoid'},0.86,0.08390843223419206
Epoch/DATA3/D3S06I_S01_NF2S15CH-epo.fif,{'SVM__kernel': 'poly'},0.978125,0.034657926582529426
Epoch/DATA3/D3S06I_S01_NF2S15CH-epo.fif,{'SVM__kernel': 'linear'},0.97375,0.03555365663331973
Epoch/DATA3/D3S06I_S01_NF2S15CH-epo.fif,{'SVM__kernel': 'rbf'},0.97625,0.03620687089490059
Epoch/DATA3/D3S06I_S01_NF2S15CH-epo.fif,{'SVM__kernel': 'sigmoid'},0.8425,0.08360995754095321
Epoch/DATA3/D3S08I_S01_FI2S8BCH-epo.fif,{'SVM__kernel': 'poly'},0.8475,0.07872023246916895
Epoch/DATA3/D3S08I_S01_FI2S8BCH-epo.fif,{'SVM__kernel': 'linear'},0.8425,0.07576691230345868
Epoch/DATA3/D3S08I_S01_FI2S8BCH-epo.fif,{'SVM__kernel': 'rbf'},0.8625,0.08244316223920574
Epoch/DATA3/D3S08I_S01_FI2S8BCH-epo.fif,{'SVM__kernel': 'sigmoid'},0.836875,0.08519050343201406
Epoch/DATA3/D3S06I_S01_FI4S8ACH-epo.fif,{'SVM__kernel': 'poly'},0.93875,0.058616870438466785
