file,accuracy
D4SBI_S02_FI2S8ACH-epo.fif,0.65625
D4SAI_S01_FI2S8ACH-epo.fif,0.625
D4SAI_S03_NF2S8ACH-epo.fif,0.6875
D4SBI_S02_NF4S8ACH-epo.fif,0.59375
D4SAI_S02_NF2S8ACH-epo.fif,0.4375
D4SAI_S01_NF2S8ACH-epo.fif,0.4375
D4SAI_S03_FI4S8ACH-epo.fif,0.53125
D4SAI_S01_FI4S8ACH-epo.fif,0.5625
D4SAI_S02_FI4S8ACH-epo.fif,0.53125
D4SBI_S02_NF2S8ACH-epo.fif,0.65625
D4SAI_S02_NF4S8ACH-epo.fif,0.46875
D4SAI_S01_NF4S8ACH-epo.fif,0.4375
D4SAI_S02_FI2S8ACH-epo.fif,0.5625
D4SBI_S02_FI4S8ACH-epo.fif,0.84375
D4SAI_S03_FI2S8ACH-epo.fif,0.75
D4SAI_S03_NF4S8ACH-epo.fif,0.53125
